Source IP,Destination IP,Protocol
192.168.1.12,20.189.173.24,TCP
192.168.1.12,20.189.173.24,TCP
192.168.1.12,20.189.173.24,TCP
192.168.1.12,20.189.173.24,TCP
20.189.173.24,192.168.1.12,TCP
20.189.173.24,192.168.1.12,TCP
20.189.173.24,192.168.1.12,TCP
20.189.173.24,192.168.1.12,TCP
192.168.1.12,20.189.173.24,TCP
20.189.173.24,192.168.1.12,TCP
20.189.173.24,192.168.1.12,TCP
140.82.114.25,192.168.1.12,TCP
192.168.1.12,140.82.114.25,TCP
140.82.114.25,192.168.1.12,TCP
192.168.1.12,52.178.17.232,TCP
52.178.17.232,192.168.1.12,TCP
192.168.1.12,52.178.17.232,TCP
192.168.1.12,52.178.17.232,TCP
52.178.17.232,192.168.1.12,TCP
192.168.1.12,52.178.17.232,TCP
52.178.17.232,192.168.1.12,TCP
52.178.17.232,192.168.1.12,TCP
52.178.17.232,192.168.1.12,TCP
192.168.1.12,52.178.17.232,TCP
192.168.1.12,52.178.17.232,TCP
192.168.1.12,52.178.17.232,TCP
192.168.1.12,52.178.17.232,TCP
192.168.1.12,52.178.17.232,TCP
52.178.17.232,192.168.1.12,TCP
52.178.17.232,192.168.1.12,TCP
52.178.17.232,192.168.1.12,TCP
52.178.17.232,192.168.1.12,TCP
192.168.1.12,52.178.17.232,TCP
52.178.17.232,192.168.1.12,TCP
52.178.17.232,192.168.1.12,TCP
192.168.1.12,52.178.17.232,TCP
